Date,Category,CPI,YoY_Change
2021-01-01,Food,271.96,
2021-03-01,Food,271.408,
2021-05-01,Food,272.558,
2021-07-01,Food,276.611,
2021-09-01,Food,281.734,
2021-11-01,Food,284.238,
2022-01-01,Food,290.255,
2022-03-01,Food,290.945,
2022-05-01,Food,295.51,
2022-07-01,Food,301.239,
2022-09-01,Food,299.309,
2022-11-01,Food,304.207,
2023-01-01,Food,309.141,13.671495808207101
2023-03-01,Food,307.783,13.402331545127621
2023-05-01,Food,308.473,13.177011865364442
2023-07-01,Food,307.701,11.239610861462502
2023-09-01,Food,311.741,10.650826666288072
2023-11-01,Food,312.634,9.990219463970341
2024-01-01,Food,315.228,8.603813887788325
2024-03-01,Food,315.426,8.414305109213082
2024-05-01,Food,316.605,7.138506311123161
2024-07-01,Food,321.24,6.639578540627222
2024-09-01,Food,321.071,7.270746953816953
2024-11-01,Food,321.368,5.641224560907543
2025-01-01,Food,321.023,3.8435535888154515
2025-03-01,Food,323.351,5.058109122336196
2025-05-01,Food,324.837,5.3048402939641415
2021-01-01,Energy,202.311,
2021-02-01,Energy,206.977,
2021-03-01,Energy,223.13,
2021-04-01,Energy,227.141,
2021-05-01,Energy,232.988,
2021-06-01,Energy,242.815,
2021-07-01,Energy,246.669,
2021-08-01,Energy,246.143,
2021-09-01,Energy,242.173,
2021-10-01,Energy,254.446,
2021-11-01,Energy,255.017,
2021-12-01,Energy,249.781,
2022-01-01,Energy,252.248,24.683284645916427
2022-02-01,Energy,260.086,25.659372780550505
2022-03-01,Energy,285.059,27.754672164209214
2022-04-01,Energy,287.285,26.478707058611196
2022-05-01,Energy,307.641,32.04156437241403
2022-06-01,Energy,332.89,37.09614315425323
2022-07-01,Energy,324.21,31.435243180132066
2022-08-01,Energy,301.242,22.384955087083537
2022-09-01,Energy,291.799,20.491962357488227
2022-10-01,Energy,295.07,15.965666585444449
2022-11-01,Energy,283.575,11.198469121666399
2022-12-01,Energy,271.61,8.73925558789499
2023-01-01,Energy,276.052,9.436744790840779
2023-02-01,Energy,275.718,6.010319663495922
2023-03-01,Energy,265.876,-6.729484071718506
2023-04-01,Energy,275.916,-3.957394225246713
2023-05-01,Energy,274.672,-10.716712011727958
2023-06-01,Energy,282.201,-15.226951845955107
2023-07-01,Energy,281.355,-13.218284445266947
2023-08-01,Energy,287.262,-4.6407871412352915
2023-09-01,Energy,285.9,-2.021597058249003
2023-10-01,Energy,283.169,-4.033280238587455
2023-11-01,Energy,269.218,-5.062858150401118
2023-12-01,Energy,262.378,-3.3989912006185397
2024-01-01,Energy,260.849,-5.507295726892048
2024-02-01,Energy,265.746,-3.6167388418601787
2024-03-01,Energy,276.662,4.0567783478012265
2024-04-01,Energy,279.846,1.4243465402513866
2024-05-01,Energy,281.99,2.664268654977575
2024-06-01,Energy,286.605,1.5605897923820278
2024-07-01,Energy,282.851,0.5317126050718768
2024-08-01,Energy,279.402,-2.736178123107136
2024-09-01,Energy,272.398,-4.7226302903112805
2024-10-01,Energy,271.51,-4.117329227422495
2024-11-01,Energy,265.173,-1.5024998328492245
2024-12-01,Energy,260.235,-0.8167605515706278
2025-01-01,Energy,270.217,3.59134978474136
2025-02-01,Energy,271.088,2.0101901816020007
2025-03-01,Energy,270.04,-2.3935343487721306
2025-04-01,Energy,274.139,-2.039335920470542
2025-05-01,Energy,274.317,-2.721018475832482
2025-06-01,Energy,280.781,-2.032065037246389
2021-01-01,Shelter,344.056,
2021-02-01,Shelter,344.499,
2021-03-01,Shelter,344.838,
2021-04-01,Shelter,345.045,
2021-05-01,Shelter,343.512,
2021-06-01,Shelter,344.241,
2021-07-01,Shelter,344.851,
2021-08-01,Shelter,345.876,
2021-09-01,Shelter,348.438,
2021-10-01,Shelter,348.931,
2021-11-01,Shelter,350.199,
2021-12-01,Shelter,350.752,
2022-01-01,Shelter,351.198,2.0758248657195333
2022-02-01,Shelter,352.173,2.2275826635200557
2022-03-01,Shelter,354.604,2.8320544719549368
2022-04-01,Shelter,355.432,3.0103319856830346
2022-05-01,Shelter,357.027,3.93436037169006
2022-06-01,Shelter,358.18,4.049198090872386
2022-07-01,Shelter,359.902,4.364493650881096
2022-08-01,Shelter,359.443,3.922504018781292
2022-09-01,Shelter,361.367,3.7105596978515676
2022-10-01,Shelter,361.814,3.6921339749119486
2022-11-01,Shelter,365.269,4.303267570724079
2022-12-01,Shelter,366.83,4.583865523218678
2023-01-01,Shelter,367.096,4.526791154847132
2023-02-01,Shelter,370.347,5.160531897675291
2023-03-01,Shelter,373.375,5.293510507495691
2023-04-01,Shelter,373.835,5.177642980935859
2023-05-01,Shelter,376.936,5.576328961114974
2023-06-01,Shelter,377.315,5.34228600145179
2023-07-01,Shelter,377.786,4.969130485521056
2023-08-01,Shelter,380.334,5.81204808551008
2023-09-01,Shelter,383.752,6.194533535159552
2023-10-01,Shelter,383.516,5.998109525888995
2023-11-01,Shelter,384.062,5.144975346936098
2023-12-01,Shelter,384.565,4.834664558514845
2024-01-01,Shelter,386.317,5.235960075838464
2024-02-01,Shelter,388.582,4.9237606892994945
2024-03-01,Shelter,390.88,4.68831603615667
2024-04-01,Shelter,391.724,4.785266227078799
2024-05-01,Shelter,393.133,4.2970159390453455
2024-06-01,Shelter,393.052,4.170785683049982
2024-07-01,Shelter,394.249,4.357758095853215
2024-08-01,Shelter,396.463,4.240746291417552
2024-09-01,Shelter,397.985,3.708905751631253
2024-10-01,Shelter,399.598,4.193306146288545
2024-11-01,Shelter,397.041,3.3794022840062166
2024-12-01,Shelter,399.621,3.9150728745465546
2025-01-01,Shelter,401.862,4.02389747280083
2025-02-01,Shelter,402.296,3.529242219145501
2025-03-01,Shelter,405.103,3.6387126483831356
2025-04-01,Shelter,404.785,3.3342353289561144
2025-05-01,Shelter,406.088,3.295322448128246
2025-06-01,Shelter,406.923,3.5290495914026554
2021-01-01,Transportation,211.25,
2021-03-01,Transportation,216.225,
2021-05-01,Transportation,230.898,
2021-07-01,Transportation,238.844,
2021-09-01,Transportation,234.184,
2021-11-01,Transportation,245.416,
2022-01-01,Transportation,243.693,
2022-03-01,Transportation,259.648,
2022-05-01,Transportation,272.233,
2022-07-01,Transportation,274.897,
2022-09-01,Transportation,262.598,
2022-11-01,Transportation,262.753,
2023-01-01,Transportation,256.886,21.602840236686394
2023-03-01,Transportation,263.458,21.84437507226271
2023-05-01,Transportation,270.876,17.31413871059948
2023-07-01,Transportation,269.264,12.736346736782167
2023-09-01,Transportation,273.063,16.601902777303312
2023-11-01,Transportation,268.219,9.291570231769718
2024-01-01,Transportation,265.53,8.960864694513159
2024-03-01,Transportation,271.791,4.676716169583428
2024-05-01,Transportation,279.309,2.599244029930259
2024-07-01,Transportation,276.459,0.5682128215295235
2024-09-01,Transportation,271.436,3.365600651947065
2024-11-01,Transportation,272.378,3.663136101205322
2025-01-01,Transportation,270.71,5.381375396090071
2025-03-01,Transportation,268.864,2.051939967660865
2025-05-01,Transportation,271.708,0.3071516118076323
2021-01-01,All_Items,270.535,
2021-03-01,All_Items,272.347,
2021-05-01,All_Items,275.822,
2021-07-01,All_Items,279.099,
2021-09-01,All_Items,280.933,
2021-11-01,All_Items,284.24,
2022-01-01,All_Items,286.678,
2022-03-01,All_Items,292.227,
2022-05-01,All_Items,296.559,
2022-07-01,All_Items,299.937,
2022-09-01,All_Items,299.268,
2022-11-01,All_Items,300.085,
2023-01-01,All_Items,299.149,10.576820004805288
2023-03-01,All_Items,302.93,11.229424227180784
2023-05-01,All_Items,305.614,10.801168869778333
2023-07-01,All_Items,305.273,9.378034317571915
2023-09-01,All_Items,309.254,10.08105135388153
2023-11-01,All_Items,308.419,8.506543765831687
2024-01-01,All_Items,309.961,8.121655655474092
2024-03-01,All_Items,313.108,7.145472526494823
2024-05-01,All_Items,315.667,6.443237264760104
2024-07-01,All_Items,316.445,5.503822469385233
2024-09-01,All_Items,317.382,6.052768755764082
2024-11-01,All_Items,316.745,5.551760334571876
2025-01-01,All_Items,318.175,6.360041317203136
2025-03-01,All_Items,320.604,5.83435117023734
2025-05-01,All_Items,321.56,5.217692906738569
